col,row,totalE,N_MIPs
0,0,1.811779843657e+05,1.646048796852e+04
1,0,1.908321477032e+05,1.904590161321e+04
2,0,1.906850494916e+05,1.891337471438e+04
3,0,1.932027107225e+05,1.811033337482e+04
4,0,1.917446994439e+05,2.012023651378e+04
5,0,1.900333854857e+05,1.781165186891e+04
6,0,1.809552078115e+05,1.624688018024e+04
0,1,1.901970211989e+05,1.559062608216e+04
1,1,2.027316321965e+05,2.132690355632e+04
2,1,2.045632389264e+05,2.100388649416e+04
3,1,2.045847651722e+05,2.221404180735e+04
4,1,2.050176380841e+05,1.926453872900e+04
5,1,2.015729012845e+05,1.979916133669e+04
6,1,1.894024103034e+05,1.707220922526e+04
0,2,1.906077454908e+05,1.681326208693e+04
1,2,2.042613302710e+05,2.110598308934e+04
2,2,2.072867551557e+05,2.244146563971e+04
3,2,2.066018073875e+05,2.214182373799e+04
4,2,2.054364734200e+05,2.177802314357e+04
5,2,2.044333551175e+05,2.166925717880e+04
6,2,1.837748767694e+05,1.845325389731e+04
0,3,1.845678877802e+05,1.781699897128e+04
1,3,1.943966557097e+05,2.137671584427e+04
2,3,1.971211184688e+05,2.121655785333e+04
3,3,1.986635164393e+05,2.103911974397e+04
4,3,1.978269141952e+05,2.279807287498e+04
5,3,1.959814781421e+05,1.843975906135e+04
6,3,1.833117048731e+05,1.810585711640e+04
0,4,1.834621227483e+05,1.873269575139e+04
1,4,1.947368471772e+05,1.941832156009e+04
2,4,1.976886832680e+05,2.159861793167e+04
3,4,1.969454884852e+05,1.990509372183e+04
4,4,1.978993729388e+05,1.895105101932e+04
5,4,1.952739696110e+05,2.021719503666e+04
6,4,1.827871955775e+05,1.748101338488e+04
0,5,1.805176534458e+05,1.831610954375e+04
1,5,1.925417794736e+05,1.868298296974e+04
2,5,1.949910146841e+05,2.086392077459e+04
3,5,1.948690733064e+05,2.155610027577e+04
4,5,1.941739946074e+05,2.022523506791e+04
5,5,1.932520645958e+05,2.133721417100e+04
6,5,1.812154363041e+05,1.594537717777e+04
0,6,1.717545734049e+05,1.577762503060e+04
1,6,1.808531600489e+05,1.580841175038e+04
2,6,1.831407564670e+05,1.886184441255e+04
3,6,1.821788047509e+05,1.721425036858e+04
4,6,1.828446226862e+05,1.751446369299e+04
5,6,1.811756912312e+05,1.717407606021e+04
6,6,1.724726508989e+05,1.631297448402e+04
