eventID,totalE_units,totalMIPs,energy_GeV
0,8.726833089281e+03,7.952444282146e+02,8.459408532305e+00
1,9.121997562538e+03,9.086113234889e+02,9.665348300179e+00
2,8.994793749515e+03,8.928211005587e+02,9.497379884627e+00
3,9.271146130829e+03,8.806510810552e+02,9.367921364488e+00
4,9.107958955200e+03,9.456634111342e+02,1.005948969274e+01
5,9.228494678591e+03,8.714801896894e+02,9.270366054553e+00
6,8.718243116989e+03,7.871404986170e+02,8.373203022714e+00
7,9.026430696631e+03,7.592012238855e+02,8.075999130849e+00
8,9.686241198045e+03,1.003488022766e+03,1.067459870283e+01
9,9.685692054129e+03,9.953792548002e+02,1.058834172512e+01
10,9.746939820185e+03,1.043448593121e+03,1.109967906532e+01
11,9.751418240626e+03,9.337552355720e+02,9.932816536188e+00
12,9.617484219685e+03,9.419505091433e+02,1.001999371683e+01
13,9.146665725044e+03,8.359029854323e+02,8.891913726476e+00
14,9.112560119775e+03,8.152643218512e+02,8.672370048333e+00
15,9.770115615538e+03,1.005271682820e+03,1.069357237752e+01
16,9.882192218477e+03,1.062399847232e+03,1.130127293387e+01
17,9.906994197473e+03,1.057399742214e+03,1.124808434234e+01
18,9.853235508305e+03,1.037947654406e+03,1.104116285792e+01
19,9.718078880399e+03,1.019976494782e+03,1.084999473946e+01
20,9.107332360988e+03,9.121168152272e+02,9.702637950591e+00
21,9.297123133019e+03,9.027669367045e+02,9.603178665691e+00
22,9.770705680687e+03,1.055961829035e+03,1.123278854827e+01
23,9.883369357182e+03,1.059334371887e+03,1.126866395559e+01
24,9.828626518233e+03,1.042180509742e+03,1.108618983487e+01
25,9.851939857600e+03,1.101353905168e+03,1.171564652566e+01
26,9.793157849081e+03,9.411965436529e+02,1.001197341279e+01
27,9.252199716942e+03,9.132274757203e+02,9.714452595898e+00
28,9.218659979600e+03,9.386190207028e+02,9.984555025607e+00
29,9.717890355556e+03,9.769586883521e+02,1.039239304387e+01
30,9.835764279121e+03,1.063789195485e+03,1.131605211879e+01
31,9.850434670092e+03,1.004059184488e+03,1.068067443272e+01
32,9.895318183765e+03,9.663808466834e+02,1.027987130729e+01
33,9.718308841442e+03,9.986352198622e+02,1.062297703679e+01
34,9.083138639871e+03,8.723048327158e+02,9.279138190523e+00
35,8.973025115163e+03,9.063506008320e+02,9.641299874494e+00
36,9.642265230863e+03,9.411396323660e+02,1.001136801927e+01
37,9.705704601078e+03,1.028015903800e+03,1.093551391171e+01
38,9.731536056403e+03,1.057864486238e+03,1.125302805453e+01
39,9.773191171554e+03,1.013227778610e+03,1.077820530573e+01
40,9.600126569318e+03,1.034543179942e+03,1.100494777824e+01
41,9.022101196783e+03,8.062770001764e+02,8.576767460045e+00
42,8.681680291034e+03,8.021305830873e+02,8.532659969495e+00
43,8.979680349351e+03,7.993850834995e+02,8.503454731691e+00
44,9.126984747773e+03,9.328271833168e+02,9.922944385076e+00
45,9.205476117309e+03,8.819577307872e+02,9.381820844320e+00
46,9.178392722319e+03,8.863982417289e+02,9.429056756720e+00
47,9.299968303406e+03,8.908855869018e+02,9.476790868015e+00
48,8.743736839220e+03,8.278973404512e+02,8.806753718990e+00
49,8.753760809443e+03,7.996953655540e+02,8.506755355457e+00
50,9.222151296557e+03,9.189221746911e+02,9.775029927035e+00
51,9.035116771137e+03,8.975041617811e+02,9.547195924397e+00
52,9.219187162578e+03,8.791644911863e+02,9.352107772371e+00
53,9.172400696055e+03,9.520668253529e+02,1.012760597870e+01
54,9.154124187558e+03,8.626673088108e+02,9.176619079342e+00
55,8.564911214710e+03,7.719807539704e+02,8.211941316677e+00
56,8.900185340804e+03,7.483070676748e+02,7.960112599951e+00
57,9.632585588434e+03,9.987706804334e+02,1.062441799793e+01
58,9.746273796307e+03,1.001910048394e+03,1.065781300853e+01
59,9.703631423235e+03,1.037558192469e+03,1.103701995856e+01
60,9.778326371353e+03,9.362158903955e+02,9.958991739271e+00
61,9.685054495003e+03,9.514302636435e+02,1.012083455678e+01
62,9.079580778355e+03,8.266574769992e+02,8.793564677869e+00
63,9.289680109630e+03,8.360114637107e+02,8.893067663606e+00
64,9.749551814281e+03,1.003977628214e+03,1.067980687828e+01
65,9.875262971126e+03,1.062145103564e+03,1.129856309941e+01
66,9.904039206127e+03,1.057633267379e+03,1.125056846510e+01
67,9.809142776982e+03,1.035007814868e+03,1.100989032988e+01
68,9.674604527735e+03,1.013592590734e+03,1.078208599284e+01
69,9.249617532569e+03,9.263654603584e+02,9.854207840201e+00
70,9.142327654237e+03,8.883489607779e+02,9.449807520614e+00
71,9.693658871863e+03,1.049378434835e+03,1.116275772619e+01
72,9.906638923095e+03,1.062261648974e+03,1.129980285061e+01
73,9.898966129330e+03,1.048269981067e+03,1.115096655491e+01
74,9.843588395403e+03,1.104239693710e+03,1.174634408650e+01
75,9.841722970846e+03,9.452302470311e+02,1.005488191182e+01
76,9.148740807761e+03,9.024831567899e+02,9.600159958303e+00
77,9.216857503626e+03,9.383644646281e+02,9.981847186666e+00
78,9.651096583556e+03,9.707701871236e+02,1.032656289375e+01
79,9.863292384116e+03,1.065893054160e+03,1.133843190468e+01
80,9.864984625515e+03,1.005409574631e+03,1.069503920095e+01
81,9.872659122036e+03,9.640675475645e+02,1.025526359976e+01
82,9.717532733280e+03,9.991348685807e+02,1.062829204748e+01
83,9.035600193880e+03,8.681821534807e+02,9.235283211273e+00
84,8.973087603010e+03,9.054301989419e+02,9.631509104102e+00
85,9.640375239713e+03,9.405636309982e+02,1.000524080767e+01
86,9.740519076201e+03,1.034628039133e+03,1.100585046745e+01
87,9.754451042690e+03,1.060288527202e+03,1.127881377786e+01
88,9.663949901113e+03,1.002387001434e+03,1.066288659405e+01
89,9.610795626221e+03,1.036680936506e+03,1.102768815274e+01
90,8.988711809465e+03,8.066138524677e+02,8.580350724568e+00
91,8.664012927220e+03,7.997324385350e+02,8.507149719102e+00
92,9.107124535840e+03,8.111526942837e+02,8.628632631140e+00
93,9.137725939468e+03,9.335364644305e+02,9.930489359291e+00
94,8.996514800025e+03,8.612410150390e+02,9.161446886649e+00
95,9.254493188550e+03,8.929362324200e+02,9.498604599212e+00
96,9.117671624763e+03,8.700760929634e+02,9.255429982821e+00
97,8.518348934659e+03,8.051433888734e+02,8.564708675616e+00
98,8.873883227758e+03,8.108737052144e+02,8.625664886345e+00
99,8.949071648086e+03,8.900404551501e+02,9.467800783335e+00
