layer,meanE,rmsE,nEventsWithSignal
0,11.4786567586,3.30972841639,1000
1,12.0376623721,5.36493836134,1000
2,12.2767913456,5.70860865894,1000
3,12.6147099659,6.66309735934,1000
4,12.6901215537,7.77680651876,1000
5,12.990537976,8.38339923088,1000
6,13.123217602,8.42923238282,1000
7,13.2361914705,8.39891542632,1000
8,13.5550293244,9.48978169539,1000
9,13.5247250927,8.86599157785,1000
10,13.5263836233,10.3808656169,1000
11,13.4597161168,8.69647160739,1000
12,13.098528869,7.41906542817,1000
13,13.3760822131,7.56694404477,1000
14,13.052101084,6.30751554723,1000
15,13.0486843428,7.43990602674,1000
16,13.0771149001,6.76683605198,1000
17,13.6663319069,9.27428918025,1000
18,13.4845325341,8.68419610369,1000
19,13.1533170323,7.21762705342,1000
20,13.199616591,7.63097923663,1000
21,13.1955396276,7.78757028213,1000
22,13.2228306236,7.6559049533,1000
23,13.2321883424,7.27050313471,1000
